designation,source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ruwe,phot_g_mean_mag,visibility_periods_used,astrometric_sigma5d_max,astrometric_gof_al,parallax_over_error
Gaia DR3 2020105161514701440,2020105161514701440,295.7852454731227,23.50871818617122,0.012451268,0.016572576,0.45889488378657894,0.02358123,-1.9706107728432638,0.014213492,-5.316362889614269,0.022386111,-0.115892194,-0.07991057,-0.6920863,0.063045435,0.13424866,0.10185863,-0.335187,-0.013463286,-0.22418843,0.038425595,0.94654804,14.985623,23,0.03192134,-2.2327235,19.460176
Gaia DR3 2020096365421635456,2020096365421635456,295.6134435168806,23.342868488946475,0.01703352,0.021534974,0.4661299934661445,0.030376025,-1.6250434758391816,0.01969072,-5.439161682132814,0.028815279,-0.11110824,-0.040299956,-0.697301,-0.0017434015,0.0821133,0.07639385,-0.20153005,-0.054741763,-0.18353374,0.05920745,1.9796529,11.622328,24,0.040472582,34.979134,15.345325
Gaia DR3 2020096571580145408,2020096571580145408,295.5561248726162,23.315502258332565,0.013139738,0.014659067,0.49361521182463647,0.02198339,-2.0679704844733044,0.014947126,-5.524380958117999,0.020207483,0.021331687,0.045266185,-0.7843851,-0.08782353,0.17866847,-0.012889843,-0.25724077,-0.13106616,-0.28843802,0.18659008,0.9505516,14.68385,23,0.029493004,-1.9627956,22.454008
Gaia DR3 2020104405600280320,2020104405600280320,295.72429981911586,23.425344832760562,0.010108592,0.013598621,0.4875766322991737,0.019387078,-1.6242117239894462,0.011433328,-5.206374357498496,0.017988108,-0.041458245,-0.014405402,-0.68297553,-0.005945552,0.06912445,0.029885324,-0.3010768,-0.09447418,-0.24109118,0.08351381,1.4188057,13.758727,24,0.02565793,16.646763,25.149567
Gaia DR3 2020115228919133312,2020115228919133312,295.9294084489779,23.42738298618336,0.014571974,0.019064385,0.35348575340031924,0.026683448,-1.5571291908136988,0.016673049,-5.0428991590650885,0.025808405,-0.07185339,-0.0172963,-0.7001118,0.02891167,-0.042290077,0.06815913,-0.34320787,-0.08990988,-0.2028616,0.04298744,1.6091058,14.38466,24,0.03669742,23.405165,13.247379
Gaia DR3 2020104302521059200,2020104302521059200,295.7813066347601,23.43410372849846,0.011814481,0.015065456,0.4168757854683698,0.02196843,-1.7533169050581163,0.0135097345,-5.316528886240233,0.020301228,-0.041979462,0.027182259,-0.69487643,-0.018070964,0.0039776964,0.034940567,-0.2677104,-0.124393135,-0.2601536,0.08527193,0.95349246,14.859542,24,0.028906649,-1.9325483,18.97613
Gaia DR3 2020088978077841536,2020088978077841536,295.77484237630273,23.292442882031846,0.009138985,0.01141166,0.46028977375878355,0.016369965,-1.6417028703080572,0.010294804,-5.553780855579973,0.015550034,-0.1242572,-0.030103581,-0.774846,0.06350288,0.035238944,0.10991078,-0.4275171,-0.075576596,-0.3126144,0.025852727,0.9794162,13.73371,23,0.02254372,-0.8058405,28.117945
Gaia DR3 2020089218596013568,2020089218596013568,295.74790104421356,23.29564130493999,0.019131085,0.023766357,0.43639354876032027,0.033945255,-1.704908549153493,0.021643728,-5.40163345761811,0.032029066,-0.07903942,-0.00969338,-0.7792153,0.010442666,0.015503787,0.061940495,-0.43485707,-0.06565847,-0.27931213,0.055161845,1.0919039,15.510888,22,0.046385787,3.694603,12.8558035
Gaia DR3 2020089459114196096,2020089459114196096,295.82875837792585,23.312495929537107,0.0078548305,0.009236869,0.4972513772864203,0.013189631,-1.7099889501524443,0.0087246355,-5.467446603883495,0.012131441,-0.19746643,-0.16012639,-0.7781479,0.147541,0.06926747,0.18027438,-0.36092618,0.067665294,-0.26152128,-0.080414444,1.0441074,13.255721,24,0.017660962,1.8342389,37.700172
Gaia DR3 2020090592985590912,2020090592985590912,295.7645571796462,23.353125294866192,0.016562577,0.020773962,0.4946929327181188,0.029114086,-2.1626709840585123,0.018616362,-5.294497416860048,0.027786696,-0.0710925,-0.07378836,-0.7168121,0.06840441,0.059693158,0.083403945,-0.31889063,-0.03388131,-0.27195412,0.028435253,1.1235737,15.36526,24,0.039694436,4.9999547,16.991531
Gaia DR3 2020105848709294848,2020105848709294848,295.74491762589685,23.495206345145398,0.018071864,0.023791691,0.4263907907452104,0.034557432,-1.8426455384896023,0.020726033,-5.5518426151654445,0.033061925,0.005008232,0.018054524,-0.6496744,-0.03123725,0.05327661,0.00019220752,-0.25636008,-0.102669686,-0.22750272,0.10672212,0.9832503,15.901389,24,0.04686333,-0.6742927,12.3386135
Gaia DR3 2020091967374971008,2020091967374971008,295.8765453237083,23.422220055872458,0.014690595,0.020746632,0.5001736073301104,0.028901571,-1.9270390282853647,0.016718997,-5.226665596557545,0.027635224,-0.015034047,-0.025112461,-0.6385079,0.0056331693,-0.06240645,0.0404688,-0.28464523,-0.09767791,-0.113440976,0.09071551,1.059715,15.445088,24,0.038962197,2.4671967,17.306105
Gaia DR3 2020104302521058688,2020104302521058688,295.7906488531481,23.437702458802065,0.0067450106,0.009400436,0.47631164833503536,0.013282593,-1.9940854385910014,0.007623089,-5.109254087407897,0.012798784,-0.056566086,-0.024986953,-0.694618,0.0018167287,0.08770617,0.03881791,-0.34380537,-0.08359722,-0.24301057,0.084960125,0.872539,10.199769,24,0.018290358,-5.584323,35.85984
Gaia DR3 2020115125839583744,2020115125839583744,295.92720963519434,23.411713460969573,0.010621211,0.0145580415,0.49275175187764947,0.021050066,-1.895180135512287,0.012108543,-5.29614762485343,0.01955882,-0.040844973,0.008163601,-0.6710545,-0.0023246498,-0.12527008,0.065133035,-0.27453238,-0.15627551,-0.17039014,0.1067849,1.0055084,14.702984,24,0.027648626,0.24628162,23.408562
Gaia DR3 2020116568948936832,2020116568948936832,295.84294307727566,23.47959817823873,0.013946631,0.019279022,0.4580525737831454,0.026428917,-1.9636207986564576,0.015900688,-5.4172839948073985,0.026040655,-0.11348369,-0.0565391,-0.6845537,0.058107834,0.018133923,0.08937458,-0.37675527,-0.065678865,-0.20780972,0.01863773,1.0240302,15.23931,23,0.037191086,0.99154794,17.331493
Gaia DR3 2020104336880799872,2020104336880799872,295.763854504978,23.445866017881006,0.010604092,0.013726804,0.4637034174255237,0.019942092,-1.4937344858794626,0.0121747395,-5.207757590194145,0.018697225,-0.032592494,-0.032742377,-0.67492706,-0.007019388,0.06863333,0.01905328,-0.29918835,-0.090570904,-0.2423758,0.08170414,1.030948,14.587507,23,0.026629994,1.2886424,23.252497
Gaia DR3 2020102477143987968,2020102477143987968,295.7173868231008,23.369901794180084,0.01930705,0.02560385,0.5216036041865474,0.035253115,-2.0580377269665924,0.021665046,-5.236256785992616,0.034201156,-0.10548759,-0.07207078,-0.68554586,0.10001137,0.06189456,0.12640162,-0.29281557,-0.024415962,-0.2196722,0.019214237,1.019886,15.994214,24,0.048526485,0.85525745,14.7959585
Gaia DR3 2020103306088803200,2020103306088803200,295.5949401692026,23.385417865688513,0.01424245,0.018740285,0.4007183915232949,0.02959413,-1.6915860529651012,0.01620513,-5.187517986113546,0.028275944,-0.01837166,0.003676461,-0.70025164,-0.01988815,0.1315487,0.028082125,-0.20664065,-0.06039277,-0.38666493,0.10688464,0.98258346,15.271929,22,0.040502824,-0.7001247,13.540468
Gaia DR3 2020115125839588224,2020115125839588224,295.92098686234823,23.41204346755386,0.007865554,0.010692902,0.4493181606726597,0.014975265,-1.507867001130516,0.008864101,-5.475300215204863,0.014014031,-0.059490696,-6.194881e-05,-0.6821452,0.014044236,-0.10058325,0.07187227,-0.30164382,-0.11936737,-0.1347666,0.073189035,1.0126202,13.816729,25,0.019811183,0.5380821,30.00402
Gaia DR3 2020115194559394432,2020115194559394432,295.91420121938296,23.426038139279534,0.012354644,0.01606042,0.4982886861194087,0.022775967,-1.9520166432143315,0.013949236,-5.196275622363865,0.0211002,-0.107147306,-0.05976415,-0.71601164,0.07859763,-0.07862193,0.11689088,-0.31428108,-0.050912526,-0.18381537,0.002904919,0.97649133,14.887346,23,0.029942598,-0.9557916,21.877829
Gaia DR3 2020105092795222272,2020105092795222272,295.7870421688197,23.49232841844434,0.017520647,0.023320833,0.506305913558453,0.033909008,-1.8255291718297575,0.019588873,-4.931842149254935,0.03042564,-0.10003998,-0.013020048,-0.6803868,0.01985411,0.07114429,0.06412991,-0.28556317,-0.07736689,-0.22212303,0.025598004,1.0069244,15.677825,24,0.043239377,0.29462075,14.93131
Gaia DR3 2020102825052469376,2020102825052469376,295.685472829343,23.39963947446133,0.011000482,0.014910261,0.46479519351871224,0.02038296,-1.889836315825673,0.012228537,-5.269876293825314,0.019354546,-0.09201047,-0.09717166,-0.72425544,0.0697848,0.092801355,0.08815528,-0.38407478,-0.014535817,-0.26527673,0.028085653,0.9956664,14.634436,22,0.02791106,-0.16671897,22.803127
Gaia DR3 2020103306088806144,2020103306088806144,295.5946102117464,23.394013726034924,0.015305067,0.01997736,0.4946175407666729,0.029404674,-2.0352256659636576,0.017555622,-5.111208877553073,0.028129995,-0.030185567,-0.032061704,-0.72726446,0.0069116717,0.18901947,0.054397713,-0.2635285,-0.057054166,-0.32782158,0.12908389,1.0052944,15.353974,22,0.040318243,0.23804383,16.82105
Gaia DR3 2020083411799979136,2020083411799979136,295.6502856773322,23.22928931173915,0.021612233,0.025418758,0.459581721216664,0.037785158,-1.710502387403472,0.024736568,-5.514307463138152,0.032411538,-0.011276679,0.048629344,-0.77331895,-0.08330688,0.1816193,-0.010896079,-0.30177906,-0.1778645,-0.19902736,0.16962437,1.0155727,15.849688,23,0.047383744,0.6330361,12.163023
Gaia DR3 2020084992348150528,2020084992348150528,295.87873317475703,23.229095522852646,0.019412223,0.020782163,0.5037891847386217,0.029317915,-1.6358695216995662,0.022740088,-5.551873911690306,0.028551107,-0.20101687,-0.087578535,-0.7976643,0.111435294,0.05590567,0.17438151,-0.3745129,0.039518192,-0.20791887,-0.06954392,1.0046556,15.582255,23,0.04136522,0.20921193,17.183662
Gaia DR3 2020088153444004736,2020088153444004736,295.8748743537638,23.347860612433905,0.010063076,0.013433344,0.4214179609389401,0.01884673,-1.5335687299672702,0.011262265,-5.289072705076933,0.01801183,-0.053926572,-0.023760982,-0.7178899,0.029564876,-0.048644267,0.06926111,-0.31012848,-0.074532256,-0.21456051,0.06004926,0.9724309,14.4560795,24,0.025565669,-1.1653252,22.36027
Gaia DR3 2020089351724678656,2020089351724678656,295.7809311835816,23.291268029577477,0.013206529,0.016323568,0.4396539194862668,0.022766955,-1.7194349810508118,0.014934137,-5.480750143951264,0.022163652,-0.09928666,-0.035210386,-0.7622271,0.038361046,0.093765415,0.07372447,-0.43573445,-0.061338153,-0.2758725,0.030473651,1.0058693,14.707439,23,0.032060802,0.24486636,19.311054
Gaia DR3 2020103065570630400,2020103065570630400,295.6236761831261,23.37668168837005,0.017144885,0.02323146,0.4448303028488986,0.032431204,-1.8888049500374602,0.019559467,-5.375308855644442,0.032864712,-0.08120031,-0.029678216,-0.7094399,0.04450821,0.08817593,0.094816394,-0.30359787,-0.061790228,-0.23787887,0.089534886,0.9688109,15.697501,23,0.046618365,-1.3107588,13.716121
