designation,source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ruwe,phot_g_mean_mag,visibility_periods_used,astrometric_sigma5d_max,astrometric_gof_al,parallax_over_error
Gaia DR3 2020086263658489600,2020086263658489600,295.8205204553163,23.269079486215066,0.01140961,0.013452288,0.46785079147602276,0.018550506,-1.645283716335794,0.013105137,-5.282049724621294,0.018386556,-0.13450032,0.015536911,-0.78735936,0.030890763,-0.0067498637,0.121563606,-0.3573073,-0.073736615,-0.16310863,0.040387202,0.98186266,14.394515,24,0.026110169,-0.73076946,25.220379
Gaia DR3 2020078189119700992,2020078189119700992,295.75727205861796,23.137635615133036,0.017415019,0.022468807,0.44370408460203675,0.030720424,-1.7113501808492173,0.02040855,-5.662570981193844,0.029307311,-0.15032691,0.031417776,-0.71853423,0.044431277,-0.003424408,0.11472764,-0.39446402,-0.14585884,-0.094143875,0.02216273,1.0152442,15.652951,23,0.041839857,0.6459871,14.443294
Gaia DR3 2020086263658486016,2020086263658486016,295.8175748971904,23.265042755999986,0.020229356,0.02348396,0.4277121302108287,0.03321521,-1.438156086379974,0.02320544,-5.391913602624153,0.03244391,-0.12285965,-0.0171996,-0.7591247,0.058754787,1.3034779e-05,0.130351,-0.27389917,-0.047331214,-0.1575534,0.027402483,1.0154523,15.783047,24,0.045660857,0.6505588,12.876996
Gaia DR3 2020089287315483648,2020089287315483648,295.79385575408395,23.290165156066895,0.013390942,0.012492631,0.5013709959440791,0.018921677,-1.7001062663582165,0.0156434,-5.457025121141363,0.017188922,0.006616937,0.14899933,-0.8396673,-0.13257402,0.063934565,-0.023311632,-0.35815036,-0.22379875,-0.3542187,0.18015029,1.0464684,14.140148,23,0.026987894,1.8348308,26.497175
Gaia DR3 2020091520698365568,2020091520698365568,295.8874220356575,23.37780135138397,0.0065579484,0.0091442745,0.4550019359148513,0.013153228,-1.5899288438195522,0.0074205557,-5.259645075212348,0.012466592,-0.06975525,0.028015725,-0.6714871,0.003930756,-0.08576331,0.057146136,-0.3289781,-0.12688635,-0.20505038,0.054578073,1.02039,13.05078,24,0.017699976,0.8384305,34.592415
Gaia DR3 2020091898655493120,2020091898655493120,295.8753606850364,23.40914156035485,0.009702413,0.01330019,0.4711969921893816,0.019098762,-1.9201187731571558,0.010967297,-5.551217767958708,0.018644722,-0.04297679,0.06336747,-0.70570135,-0.009917458,-0.08330458,0.064535305,-0.27162257,-0.17187864,-0.16120939,0.11414809,0.94359297,14.358838,24,0.026290713,-2.3222282,24.671598
Gaia DR3 2020082655885728768,2020082655885728768,295.6618599638356,23.2285192797384,0.01316054,0.015305633,0.4616124989525219,0.022729563,-1.875750142362317,0.015025421,-5.475636321634445,0.019574812,-0.06406996,0.0028495805,-0.768449,-0.052480076,0.15040238,0.025475351,-0.31842273,-0.13865288,-0.22635086,0.1282704,0.9871483,14.726862,23,0.028406873,-0.48877507,20.308903
Gaia DR3 2020089283008348544,2020089283008348544,295.7937207624544,23.29504198470463,0.0112068085,0.01175076,0.5070606987527524,0.016374813,-1.684808738159368,0.01281926,-5.340624740109007,0.014492156,-0.1642502,-0.08565566,-0.8146941,0.07209486,0.04062146,0.15350112,-0.3341314,-0.021713313,-0.26655665,0.0032204778,1.2486221,13.245292,23,0.021078069,9.205369,30.965893
Gaia DR3 2020089489162293632,2020089489162293632,295.80641311976126,23.31823145211024,0.01586601,0.018354362,0.4360448842548732,0.026043965,-1.7811998776228477,0.017938238,-5.397461941293001,0.024429493,-0.13351703,-0.090035826,-0.77045053,0.06827251,0.037234392,0.11594543,-0.34939182,-0.0014576935,-0.2711972,0.00029013504,1.5686901,11.571711,24,0.0350653,21.513893,16.742647
Gaia DR3 2020089630912890368,2020089630912890368,295.7683196524901,23.31348715633837,0.008368994,0.010197122,0.4655244990298017,0.014746935,-1.9051279298156034,0.009476365,-5.483497446594292,0.013442133,-0.104068294,-0.015537101,-0.78552747,0.03947586,0.100799374,0.097827315,-0.3746042,-0.08397235,-0.3096322,0.053572416,1.0539384,13.467614,23,0.019461839,2.218002,31.567541
